Wavelength[nm]	1712306U3-   13.08.2020  13:17:29  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:29  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1
326.496	1078.540085	959.325641	987.3760984	992.9861898	1047.684582	997.1937584	1058.904765	1037.866922	1051.89215	1042.07449	1044.879536	1065.917379	1086.955222	1102.382973	966.3382554	948.1054581	1001.401327	983.1685298	995.7912356	963.5332096	1060.307287	1019.634124	970.545824	1074.332516	945.3004124	934.0802294	1036.464399	955.1180724	969.1433011	1002.80385
326.584	963.1231397	923.8119911	918.5705046	939.5364505	947.3986803	944.777937	970.9853694	981.4683423	960.5023964	989.330572	963.1231397	950.0194235	944.777937	963.1231397	889.742329	948.7090519	950.0194235	891.0527007	884.5008426	926.4327344	917.260133	955.26091	913.3290182	929.0534776	918.5705046	944.777937	843.8793224	915.9497614	942.1571938	919.8808763
326.673	982.0704509	1049.702275	1014.477367	991.9334253	1068.019228	955.2995203	987.7064362	1084.927184	987.7064362	1039.839301	965.1624947	938.3915642	963.7534984	1166.648972	975.0254691	979.2524582	983.4794472	952.4815277	977.8434618	1006.023389	1046.884283	1008.841381	1013.06837	991.9334253	936.9825679	962.3445021	969.3894838	1003.205396	945.4365459	990.5244289
326.762	919.223778	963.4429977	964.782974	916.5438253	954.0631632	929.9435889	955.4031396	1030.441815	987.562572	990.2425247	1059.921295	995.6024301	923.2437071	923.2437071	927.2636362	911.1839199	974.1628085	917.8838017	952.7231869	947.3632814	1000.962336	963.4429977	972.8228322	984.8826193	947.3632814	956.7431159	904.4840382	868.3046766	897.7841564	966.1229504
326.850	894.6383478	850.5191964	894.6383478	834.5872806	850.5191964	959.5915429	958.3660109	924.0511154	871.3532401	895.8638798	924.0511154	888.5106879	854.1957923	963.2681389	839.4894085	857.8723883	921.6000514	857.8723883	908.1191996	911.7957956	921.6000514	865.2255802	893.4128158	824.7830247	855.4213243	915.4723915	832.1362166	856.6468563	828.4596207	810.0766409
326.939	921.5060174	898.9077772	911.4623551	821.0693942	920.2505596	922.7614752	985.5343646	961.6806666	842.4121767	877.5649948	911.4623551	891.3750304	839.9012611	922.7614752	846.17855	883.8422837	847.4340078	921.5060174	885.0977415	890.1195726	921.5060174	844.9230922	908.9514395	905.1850661	852.455839	862.4995013	867.5213324	828.602141	847.4340078	854.9667545
327.027	979.3824316	950.8567297	972.5905978	961.7236638	960.365297	1045.942403	999.757933	991.6077324	980.7407984	984.8158986	971.2322311	969.8738643	986.1742654	987.5326321	1003.833033	961.7236638	950.8567297	855.7710567	949.498363	971.2322311	969.8738643	920.9726611	991.6077324	926.4061281	926.4061281	1005.1914	959.0069303	919.6142943	938.6314289	914.1808273
327.116	954.6537318	930.586831	1008.135734	869.082529	982.7317827	974.7094825	927.9127309	1001.450483	994.7652331	982.7317827	949.3055316	998.7763833	954.6537318	976.0465325	943.9573314	934.5979811	1001.450483	903.8458301	907.8569802	939.9461813	980.0576827	946.6314315	878.4418793	938.6091313	922.5645307	945.2943815	925.2386308	930.586831	942.6202814	961.338982
327.204	975.3060193	884.8274254	968.6531815	950.0252357	965.9920464	1041.834397	1045.8261	1093.726532	971.3143166	943.3723979	983.2894246	993.9339651	1067.115181	992.6033975	931.3972899	904.7859387	993.9339651	971.3143166	940.7112628	911.4387765	927.4055872	850.2326689	964.6614788	930.0667223	930.0667223	999.2562353	900.7942361	934.058425	903.4553712	888.8191281
327.293	949.0639811	1004.162035	940.799273	928.4022109	899.4757325	993.1424244	990.3875217	1039.97577	1045.485576	998.6522298	962.8384946	942.1767244	958.7061406	940.799273	983.5002649	958.7061406	986.2551676	955.9512379	980.7453622	933.9120163	1071.657151	1004.162035	1000.029681	1011.049292	979.3679109	1017.936549	904.9855379	1006.916938	966.9708487	991.764973
327.381	907.0496831	943.2244858	1003.515824	899.0108381	956.6225609	960.6419834	988.7779411	1035.671204	1014.234284	1014.234284	1041.030434	949.9235234	988.7779411	987.4381336	941.8846783	892.3118005	925.8069882	949.9235234	897.6710306	894.9914155	987.4381336	940.5448708	1018.253706	978.0594811	909.7292981	949.9235234	963.3215985	924.4671807	893.651608	1018.253706
327.470	1014.114943	1016.947666	1011.28222	912.1369042	1069.353048	1063.687601	1127.423875	1168.498363	1032.527645	1036.77673	1046.691261	1120.342067	1049.523984	1026.862198	885.2260328	1016.947666	982.9549868	1049.523984	970.2077319	1041.025815	987.2040718	973.0404552	978.7059019	990.0367951	1004.200412	946.1295839	1021.196751	994.28588	933.382329	1022.613113
327.558	953.2400269	967.9877629	891.5676763	913.0189287	982.7354989	957.2621367	985.4169054	1016.253081	986.7576087	996.1425316	955.9214334	1033.682223	974.6912792	934.4701811	902.2933025	886.2048632	981.3947956	914.359632	926.4259614	1052.452069	989.4390152	887.5455665	930.4480712	945.1958072	990.7797185	926.4259614	970.6691694	946.5365105	914.359632	950.5586203
327.647	995.3242212	914.4857058	828.5947832	890.4867715	822.2792741	910.6964004	946.0632509	928.3798256	948.5894545	909.4332986	905.6439932	941.0108437	978.9038978	910.6964004	815.9637651	828.5947832	941.0108437	905.6439932	867.7509391	914.4857058	899.3284842	923.3274184	821.0161723	946.0632509	870.2771427	893.0129751	914.4857058	908.1701968	885.4343643	846.2782084
327.735	832.1984052	801.463805	871.2077054	819.1953051	865.2972054	829.8342052	868.8435054	930.3127058	875.9361055	848.7478053	918.4917057	841.6552052	893.6676056	906.6707057	838.1089052	829.8342052	832.1984052	821.5595051	926.7664058	814.4669051	809.738505	822.7416051	821.5595051	842.8373053	854.6583053	800.281705	881.8466055	821.5595051	840.4731052	858.2046054
